date,state,district,total_enrolment,total_demo_updates,total_bio_updates,migration_pressure_index,system_load
2025-04-01,Madhya Pradesh,Indore,1083,16853,26974,40.43081180811808,43827
2025-04-01,Madhya Pradesh,Jabalpur,159,3068,18735,136.26875,21803
2025-04-01,Madhya Pradesh,Katni,413,5770,11404,41.48309178743961,17174
2025-04-01,Madhya Pradesh,Khargone,935,1960,25030,28.835470085470085,26990
2025-04-01,Madhya Pradesh,Morena,1568,6620,20112,17.037603569152328,26732
2025-04-01,Madhya Pradesh,Raisen,515,4295,17712,42.64922480620155,22007
2025-04-01,Madhya Pradesh,Sagar,221,2889,28690,142.24774774774775,31579
2025-04-01,Madhya Pradesh,Satna,437,7116,22374,67.32876712328768,29490
2025-04-01,Madhya Pradesh,Vidisha,831,5040,14239,23.171875,19279
2025-04-01,Maharashtra,Aurangabad,791,2226,26296,36.01262626262626,28522
2025-04-01,Maharashtra,Beed,450,5346,26575,70.77827050997783,31921
2025-04-01,Maharashtra,Chandrapur,221,441,19196,88.45495495495496,19637
2025-04-01,Maharashtra,Jalgaon,423,2852,37342,94.79716981132076,40194
2025-04-01,Maharashtra,Mumbai Suburban,542,5426,18919,44.83425414364641,24345
2025-04-01,Maharashtra,Nagpur,566,4436,39515,77.51499118165785,43951
2025-04-01,Maharashtra,Nandurbar,282,2838,17017,70.15901060070671,19855
2025-04-01,Maharashtra,Pune,69,12436,63875,1090.1571428571428,76311
2025-04-01,Maharashtra,Raigad,335,5772,1593,21.919642857142858,7365
2025-04-01,Maharashtra,Thane,3434,14597,52237,19.456768558951964,66834
2025-04-01,Punjab,Gurdaspur,318,3684,15370,59.73040752351097,19054
2025-04-01,Punjab,Hoshiarpur,336,1478,11234,37.72106824925816,12712
2025-04-01,Punjab,Ludhiana,2759,6930,24426,11.360869565217392,31356
2025-04-01,Punjab,SAS Nagar (Mohali),280,2497,6404,31.676156583629894,8901
2025-04-01,Rajasthan,Ajmer,1239,3936,13174,13.798387096774194,17110
2025-04-01,Rajasthan,Alwar,1032,5440,19997,24.624394966118103,25437
2025-04-01,Rajasthan,Baran,464,1576,6415,17.18494623655914,7991
2025-04-01,Rajasthan,Bharatpur,287,2478,11680,49.15972222222222,14158
2025-04-01,Rajasthan,Bikaner,829,9718,13486,27.956626506024097,23204
2025-04-01,Rajasthan,Bundi,465,557,5248,12.457081545064378,5805
2025-04-01,Rajasthan,Churu,469,7987,13137,44.94468085106383,21124
2025-04-01,Rajasthan,Dholpur,1344,2898,6203,6.766542750929368,9101
2025-04-01,Rajasthan,Jaipur,3434,29012,40432,20.21659388646288,69444
2025-04-01,Rajasthan,Jhalawar,173,664,5668,36.39080459770115,6332
2025-04-01,Rajasthan,Jodhpur,2276,9039,24226,14.60913482652613,33265
2025-04-01,Rajasthan,Karauli,465,2880,6940,21.07296137339056,9820
2025-04-01,Rajasthan,Kota,68,9277,8995,264.81159420289856,18272
2025-04-01,Rajasthan,Nagaur,873,7239,19779,30.91304347826087,27018
2025-04-01,Rajasthan,Pali,187,3448,14799,97.05851063829788,18247
2025-04-01,Rajasthan,Sikar,335,5590,17322,68.19047619047619,22912
2025-04-01,Rajasthan,Sirohi,626,2552,6747,14.830940988835726,9299
2025-04-01,Rajasthan,Udaipur,132,1626,15797,131.0,17423
2025-04-01,Tamil Nadu,Kancheepuram,328,8632,23779,98.51367781155015,32411
2025-04-01,Tamil Nadu,Madurai,115,3294,24984,243.77586206896552,28278
2025-04-01,Tamil Nadu,Thanjavur,56,1268,18634,349.1578947368421,19902
2025-04-01,Telangana,Hyderabad,306,14915,21042,117.12377850162866,35957
2025-04-01,Telangana,K.v. Rangareddy,212,4666,22541,127.73239436619718,27207
2025-04-01,Uttar Pradesh,Aligarh,1767,20748,27466,27.270361990950228,48214
2025-04-01,Uttar Pradesh,Baghpat,553,5454,6767,22.05956678700361,12221
2025-04-01,Uttar Pradesh,Bareilly,4264,11083,30874,9.837514654161781,41957
2025-04-01,Uttar Pradesh,Budaun,760,11062,12493,30.9526938239159,23555
2025-04-01,Uttar Pradesh,Bulandshahr,1188,14128,24012,32.077375946173255,38140
2025-04-01,Uttar Pradesh,Etawah,590,4892,10511,26.062605752961083,15403
2025-04-01,Uttar Pradesh,Gautam Buddha Nagar,2491,12562,12209,9.940208667736758,24771
2025-04-01,Uttar Pradesh,Kanpur Nagar,2990,4928,23101,9.37111334002006,28029
2025-04-01,Uttar Pradesh,Lucknow,2613,4589,29657,13.100994644223412,34246
2025-04-01,Uttar Pradesh,Meerut,2053,2161,22580,12.045277507302824,24741
2025-04-01,Uttar Pradesh,Muzaffarnagar,1015,3593,22791,25.968503937007874,26384
2025-04-01,Uttar Pradesh,Pilibhit,878,11346,18835,34.33560864618885,30181
2025-04-01,Uttar Pradesh,Rampur,1246,6749,20457,21.817161186848438,27206
2025-04-01,Uttar Pradesh,Saharanpur,2061,14586,22730,18.096993210475265,37316
2025-04-01,Uttar Pradesh,Shamli,537,5884,15145,39.08736059479554,21029
2025-04-01,Uttarakhand,Dehradun,674,4840,13193,26.715555555555557,18033
2025-04-01,Uttarakhand,Nainital,602,7514,7025,24.11111111111111,14539
2025-04-01,West Bengal,Malda,396,2683,9397,30.428211586901764,12080
2025-04-01,West Bengal,Uttar Dinajpur,1713,10085,9293,11.305717619603268,19378
2025-05-01,Assam,Kokrajhar,518,1428,2905,8.348747591522159,4333
2025-05-01,Bihar,Sitamarhi,5696,10192,21461,5.55608214849921,31653
2025-05-01,Chhattisgarh,Baloda Bazar,544,2862,16217,35.007339449541284,19079
2025-05-01,Delhi,Central Delhi,333,1457,7715,27.461077844311376,9172
2025-05-01,Delhi,East Delhi,1378,28076,17891,33.33357505438724,45967
2025-05-01,Delhi,North West Delhi,644,38593,46821,132.42480620155038,85414
2025-05-01,Delhi,South Delhi,333,12766,31081,131.27844311377245,43847
2025-05-01,Delhi,South West Delhi,684,12070,18978,45.325547445255474,31048
2025-05-01,Delhi,West Delhi,2076,8234,25307,16.14877226769379,33541
2025-05-01,Gujarat,Ahmedabad,1200,20284,64796,70.84096586178185,85080
2025-05-01,Gujarat,Banaskantha,2048,5858,15622,10.48316251830161,21480
2025-05-01,Gujarat,Bharuch,395,3716,10201,35.14393939393939,13917
2025-05-01,Gujarat,Gandhinagar,295,5582,11676,58.304054054054056,17258
2025-05-01,Gujarat,Gir Somnath,260,740,4425,19.78927203065134,5165
2025-05-01,Gujarat,Jamnagar,554,2113,14268,29.515315315315316,16381
2025-05-01,Gujarat,Kachchh,150,829,18781,129.86754966887418,19610
2025-05-01,Gujarat,Mahesana,217,1722,12620,65.78899082568807,14342
2025-05-01,Gujarat,Morbi,523,496,5639,11.708015267175572,6135
2025-05-01,Gujarat,Rajkot,1908,21353,26960,25.308014667365114,48313
2025-05-01,Gujarat,Surat,1986,59410,42415,51.245596376446905,101825
2025-05-01,Gujarat,The Dangs,261,1050,4902,22.717557251908396,5952
2025-05-01,Gujarat,Valsad,398,5193,10734,39.91729323308271,15927
2025-05-01,Haryana,Faridabad,1701,20752,11031,18.67391304347826,31783
2025-05-01,Haryana,Gurgaon,668,2841,8197,16.499252615844544,11038
2025-05-01,Haryana,Mewat,1327,6622,6181,9.640813253012048,12803
2025-05-01,Jammu and Kashmir,Baramula,187,2784,6123,47.37765957446808,8907
2025-05-01,Karnataka,Bangalore Rural,240,3431,5303,36.24066390041494,8734
2025-05-01,Karnataka,Bengaluru,5251,34896,41840,14.610814927646611,76736
2025-05-01,Madhya Pradesh,Ashok Nagar,220,6452,10810,78.10859728506787,17262
2025-05-01,Madhya Pradesh,Barwani,3174,15504,23037,12.138897637795276,38541
2025-05-01,Madhya Pradesh,Bhind,956,2284,9914,12.746081504702195,12198
2025-05-01,Madhya Pradesh,Chhatarpur,737,5510,18896,33.070460704607044,24406
2025-05-01,Madhya Pradesh,Dewas,622,4823,12503,27.810593900481543,17326
2025-05-01,Madhya Pradesh,Gwalior,464,7542,17003,52.784946236559136,24545
2025-05-01,Madhya Pradesh,Indore,648,22200,27113,75.98305084745763,49313
2025-05-01,Madhya Pradesh,Jhabua,634,1275,11346,19.8755905511811,12621
2025-05-01,Madhya Pradesh,Khandwa,78,1162,8085,117.0506329113924,9247
2025-05-01,Madhya Pradesh,Khargone,448,3343,22176,56.83518930957684,25519
2025-05-01,Madhya Pradesh,Morena,1066,9750,20477,28.32895970009372,30227
2025-05-01,Madhya Pradesh,Panna,224,4664,12587,76.67111111111112,17251
2025-05-01,Madhya Pradesh,Vidisha,267,3548,14958,69.05223880597015,18506
2025-05-01,Maharashtra,Beed,444,5322,28262,75.46966292134832,33584
2025-05-01,Maharashtra,Mumbai Suburban,1569,9215,17910,17.277070063694268,27125
2025-05-01,Maharashtra,Nagpur,293,3076,39903,146.18707482993196,42979
2025-05-01,Maharashtra,Nandurbar,406,2772,24290,66.4914004914005,27062
2025-05-01,Maharashtra,Nashik,156,2203,50809,337.656050955414,53012
2025-05-01,Maharashtra,Palghar,331,8464,18422,80.98192771084338,26886
2025-05-01,Maharashtra,Pune,486,8822,61522,144.44353182751541,70344
2025-05-01,Maharashtra,Thane,2332,26947,59673,37.12816116588084,86620
2025-05-01,Punjab,Amritsar,974,9045,17489,27.214358974358973,26534
2025-05-01,Punjab,Gurdaspur,147,1776,12565,96.89864864864865,14341
2025-05-01,Punjab,Hoshiarpur,263,3274,10435,51.928030303030305,13709
2025-05-01,Punjab,Ludhiana,1383,6964,23363,21.91257225433526,30327
2025-05-01,Punjab,Patiala,604,9426,15095,40.530578512396694,24521
2025-05-01,Rajasthan,Alwar,799,3114,17943,26.32125,21057
2025-05-01,Rajasthan,Bikaner,605,4910,10341,25.166666666666668,15251
2025-05-01,Rajasthan,Jaipur,200,23366,35642,293.5721393034826,59008
2025-05-01,Rajasthan,Jodhpur,800,2520,18146,25.800249687890137,20666
2025-05-01,Tamil Nadu,Coimbatore,89,1202,29906,345.64444444444445,31108
2025-05-01,Telangana,Hyderabad,911,13537,21654,38.58662280701754,35191
2025-05-01,Uttar Pradesh,Agra,2577,9520,28578,14.778122575640031,38098
2025-05-01,Uttar Pradesh,Bareilly,1929,14605,26597,21.348186528497408,41202
2025-05-01,Uttar Pradesh,Bijnor,1822,17477,23040,22.22545255074054,40517
2025-05-01,Uttar Pradesh,Gautam Buddha Nagar,1834,23864,10762,18.869754768392372,34626
2025-05-01,Uttar Pradesh,Ghaziabad,1666,13242,24701,22.76124775044991,37943
2025-05-01,Uttar Pradesh,Hapur,1142,8898,5415,12.52230971128609,14313
2025-05-01,Uttar Pradesh,Kanpur Nagar,1746,12034,20206,18.454493417286777,32240
2025-05-01,Uttar Pradesh,Lucknow,1216,11794,23836,29.276910435497125,35630
2025-05-01,Uttar Pradesh,Meerut,2847,9490,18233,9.734199438202246,27723
2025-05-01,Uttar Pradesh,Moradabad,2545,10872,16586,10.784760408483896,27458
2025-05-01,Uttar Pradesh,Pilibhit,2028,10644,17221,13.733366190241497,27865
2025-05-01,Uttarakhand,Dehradun,624,10197,10642,33.3424,20839
2025-05-01,West Bengal,Birbhum,278,3985,12254,58.204301075268816,16239
2025-05-01,West Bengal,Dakshin Dinajpur,235,2198,4258,27.35593220338983,6456
2025-05-01,West Bengal,North 24 Parganas,726,1708,26316,38.5474552957359,28024
2025-05-01,West Bengal,Uttar Dinajpur,3677,17860,8977,7.296628602501359,26837
2025-06-01,Assam,Dhubri,545,2198,3654,10.717948717948717,5852
2025-06-01,Assam,Kokrajhar,287,247,2210,8.53125,2457
2025-06-01,Delhi,Central Delhi,194,3400,6199,49.225641025641025,9599
2025-06-01,Delhi,East Delhi,985,23159,12457,36.121703853955374,35616
2025-06-01,Delhi,New Delhi,363,365,466,2.282967032967033,831
2025-06-01,Delhi,North Delhi,598,10084,6802,28.19031719532554,16886
2025-06-01,Delhi,North East Delhi,1577,17863,13722,20.015842839036754,31585
2025-06-01,Delhi,North West Delhi,798,15489,35117,63.33667083854819,50606
2025-06-01,Delhi,South Delhi,911,22470,20666,47.29824561403509,43136
2025-06-01,Delhi,South West Delhi,321,6921,15693,70.22981366459628,22614
2025-06-01,Delhi,West Delhi,2414,36289,19125,22.94575569358178,55414
2025-06-01,Gujarat,Gandhinagar,312,4614,12066,53.29073482428115,16680
2025-06-01,Gujarat,Kachchh,133,4402,18708,172.46268656716418,23110
2025-06-01,Gujarat,Rajkot,324,9306,26230,109.34153846153846,35536
2025-06-01,Haryana,Ambala,281,4019,7486,40.797872340425535,11505
2025-06-01,Haryana,Faridabad,2264,22489,11404,14.963796909492274,33893
2025-06-01,Haryana,Hisar,406,4120,11192,37.62162162162162,15312
2025-06-01,Haryana,Kaithal,435,5674,8030,31.431192660550458,13704
2025-06-01,Haryana,Rohtak,528,2102,8583,20.198487712665408,10685
2025-06-01,Haryana,Sonipat,429,7600,9202,39.074418604651164,16802
2025-06-01,Karnataka,Raichur,428,1383,14757,37.62237762237762,16140
2025-06-01,Madhya Pradesh,Barwani,2233,2971,19354,9.993285586392123,22325
2025-06-01,Madhya Pradesh,Bhind,885,4744,11485,18.317155756207676,16229
2025-06-01,Madhya Pradesh,Bhopal,833,5809,23795,35.49640287769784,29604
2025-06-01,Madhya Pradesh,Burhanpur,1777,1744,13660,8.663667041619798,15404
2025-06-01,Madhya Pradesh,Chhatarpur,714,5073,25808,43.19020979020979,30881
2025-06-01,Madhya Pradesh,Dhar,1527,5428,22869,18.518979057591622,28297
2025-06-01,Madhya Pradesh,Gwalior,1930,8447,18171,13.784567581563957,26618
2025-06-01,Madhya Pradesh,Indore,561,20921,27630,86.38967971530249,48551
2025-06-01,Madhya Pradesh,Morena,2269,4126,24311,12.527312775330396,28437
2025-06-01,Madhya Pradesh,Sagar,201,4889,32392,184.55940594059405,37281
2025-06-01,Madhya Pradesh,Sheopur,809,6962,10939,22.1,17901
2025-06-01,Maharashtra,Amravati,368,2006,39165,111.57452574525745,41171
2025-06-01,Maharashtra,Beed,999,2636,27782,30.418,30418
2025-06-01,Maharashtra,Chandrapur,232,1901,24996,115.43776824034335,26897
2025-06-01,Maharashtra,Pune,236,16796,69249,363.0590717299578,86045
2025-06-01,Maharashtra,Sangli,356,2336,22992,70.9467787114846,25328
2025-06-01,Maharashtra,Thane,4421,37639,63642,22.903889642695614,101281
2025-06-01,Mizoram,Champhai,138,1684,789,17.79136690647482,2473
2025-06-01,Mizoram,Lawngtlai,173,988,1228,12.735632183908047,2216
2025-06-01,Punjab,Hoshiarpur,313,3146,13496,53.0,16642
2025-06-01,Punjab,Ludhiana,1830,4294,22549,14.660294920808301,26843
2025-06-01,Rajasthan,Barmer,953,3440,23538,28.27882599580713,26978
2025-06-01,Rajasthan,Bikaner,1293,2771,13304,12.422720247295208,16075
2025-06-01,Rajasthan,Churu,535,1882,14998,31.492537313432837,16880
2025-06-01,Rajasthan,Jodhpur,751,5200,22790,37.22074468085106,27990
2025-06-01,Tamil Nadu,Madurai,88,2066,21956,269.91011235955057,24022
2025-06-01,Telangana,Hyderabad,1218,21025,24260,37.149302707137,45285
2025-06-01,Uttar Pradesh,Bareilly,2515,7230,23307,12.137122416534181,30537
2025-06-01,Uttar Pradesh,Bulandshahr,477,9698,19593,61.27824267782427,29291
2025-06-01,Uttar Pradesh,Ghaziabad,2480,20688,21205,16.88553002821443,41893
2025-06-01,Uttar Pradesh,Lucknow,223,3828,21554,113.3125,25382
2025-06-01,Uttar Pradesh,Mathura,1389,3656,11852,11.1568345323741,15508
2025-06-01,Uttar Pradesh,Moradabad,1826,22770,12771,19.45320197044335,35541
2025-06-01,Uttar Pradesh,Rampur,1466,22887,10322,22.6373551465576,33209
2025-06-01,Uttar Pradesh,Saharanpur,1528,5028,17018,14.418574231523872,22046
2025-06-01,Uttar Pradesh,Shahjahanpur,1709,20704,12282,19.290058479532163,32986
2025-06-01,Uttarakhand,Dehradun,294,3652,9120,43.29491525423729,12772
2025-06-01,West Bengal,Birbhum,221,3116,12963,72.42792792792793,16079
2025-06-01,West Bengal,Malda,252,18166,9465,109.21343873517786,27631
2025-07-01,Andhra Pradesh,Prakasam,237,1284,18726,84.07563025210084,20010
2025-07-01,Assam,Barpeta,4389,6005,5215,2.5558086560364464,11220
2025-07-01,Assam,Bongaigaon,303,6396,2810,30.282894736842106,9206
2025-07-01,Assam,Cachar,5873,1782,7360,1.5563500170241744,9142
2025-07-01,Assam,Dhubri,1107,5707,6008,10.573104693140793,11715
2025-07-01,Assam,Goalpara,2898,6617,2666,3.2021386685063815,9283
2025-07-01,Assam,Hailakandi,1016,779,3858,4.559488692232055,4637
2025-07-01,Assam,Hojai,2123,3428,2900,2.9792843691148776,6328
2025-07-01,Assam,Kamrup,3804,3082,3301,1.6775295663600525,6383
2025-07-01,Assam,Marigaon,2506,1128,3505,1.8480255285201437,4633
2025-07-01,Assam,Nagaon,2420,4294,13006,7.145807517554729,17300
2025-07-01,Chhattisgarh,Balrampur,1988,8012,6820,7.457013574660634,14832
2025-07-01,Chhattisgarh,Bilaspur,1476,17042,26101,29.20988490182803,43143
2025-07-01,Chhattisgarh,Durg,495,6653,19995,53.725806451612904,26648
2025-07-01,Chhattisgarh,Raigarh,1522,3929,22151,17.12409717662508,26080
2025-07-01,Delhi,East Delhi,1878,34562,17091,27.48962213943587,51653
2025-07-01,Delhi,North Delhi,901,12642,8094,22.98891352549889,20736
2025-07-01,Delhi,North East Delhi,4482,17922,19570,8.363149676555878,37492
2025-07-01,Delhi,North West Delhi,1171,43773,40043,71.51535836177474,83816
2025-07-01,Delhi,Shahdara,799,6902,1291,10.24125,8193
2025-07-01,Delhi,South Delhi,1254,19249,31215,40.21035856573705,50464
2025-07-01,Delhi,South West Delhi,704,23106,18998,59.721985815602835,42104
2025-07-01,Delhi,West Delhi,5352,28087,22699,9.487390248458809,50786
2025-07-01,Gujarat,Ahmedabad,822,12208,65705,94.66950182260024,77913
2025-07-01,Gujarat,Gandhinagar,547,7974,13251,38.731751824817515,21225
2025-07-01,Gujarat,Kachchh,1929,7424,19913,14.164248704663212,27337
2025-07-01,Gujarat,Morbi,2829,5514,5266,3.8091872791519434,10780
2025-07-01,Gujarat,Patan,3151,1133,15285,5.208756345177665,16418
2025-07-01,Gujarat,Rajkot,4204,12486,27646,9.543876337693222,40132
2025-07-01,Gujarat,Surat,4356,37878,40685,18.031443653890292,78563
2025-07-01,Gujarat,Surendra Nagar,443,1339,16623,40.45495495495496,17962
2025-07-01,Gujarat,Vadodara,784,2607,34689,47.51082802547771,37296
2025-07-01,Haryana,Faridabad,3465,17485,20448,10.944316214656665,37933
2025-07-01,Haryana,Panipat,1523,14484,13576,18.412073490813647,28060
2025-07-01,Karnataka,Bidar,169,2087,11045,77.24705882352941,13132
2025-07-01,Karnataka,Vijayapura,450,765,7524,18.379157427937916,8289
2025-07-01,Madhya Pradesh,Balaghat,338,6300,15203,63.4306784660767,21503
2025-07-01,Madhya Pradesh,Barwani,7219,14062,22404,5.050692520775623,36466
2025-07-01,Madhya Pradesh,Betul,968,4574,26937,32.51909184726522,31511
2025-07-01,Madhya Pradesh,Bhind,4055,6016,16460,5.541420118343195,22476
2025-07-01,Madhya Pradesh,Bhopal,1133,7318,31557,34.28130511463845,38875
2025-07-01,Madhya Pradesh,Burhanpur,2976,2733,13887,5.582801477997984,16620
2025-07-01,Madhya Pradesh,Chhatarpur,3586,3874,26761,8.540563144689155,30635
2025-07-01,Madhya Pradesh,Datia,839,3417,7847,13.40952380952381,11264
2025-07-01,Madhya Pradesh,Dewas,849,7897,24383,37.976470588235294,32280
2025-07-01,Madhya Pradesh,Dhar,922,13572,24974,41.76164680390033,38546
2025-07-01,Madhya Pradesh,Guna,1072,8826,27186,33.56197576887232,36012
2025-07-01,Madhya Pradesh,Gwalior,4409,6644,20673,6.194331065759637,27317
2025-07-01,Madhya Pradesh,Indore,4994,33698,33715,13.496096096096096,67413
2025-07-01,Madhya Pradesh,Jabalpur,462,9917,25808,77.1598272138229,35725
2025-07-01,Madhya Pradesh,Katni,717,6334,11966,25.487465181058496,18300
2025-07-01,Madhya Pradesh,Khandwa,831,2902,10521,16.13341346153846,13423
2025-07-01,Madhya Pradesh,Khargone,4724,1385,33922,7.472380952380952,35307
2025-07-01,Madhya Pradesh,Morena,6073,18968,22216,6.780375370431346,41184
2025-07-01,Madhya Pradesh,Narsinghpur,514,2704,11065,26.735922330097086,13769
2025-07-01,Madhya Pradesh,Panna,487,4172,16568,42.5,20740
2025-07-01,Madhya Pradesh,Sagar,1572,13378,33075,29.53146853146853,46453
2025-07-01,Madhya Pradesh,Satna,629,8974,27754,58.2984126984127,36728
2025-07-01,Madhya Pradesh,Sehore,1673,2008,21378,13.970131421744325,23386
2025-07-01,Madhya Pradesh,Sheopur,1753,5268,9264,8.285062713797036,14532
2025-07-01,Madhya Pradesh,Shivpuri,1364,8779,40775,36.3032967032967,49554
2025-07-01,Madhya Pradesh,Vidisha,1911,8830,25120,17.756276150627617,33950
2025-07-01,Maharashtra,Amravati,684,2016,46551,70.9007299270073,48567
2025-07-01,Maharashtra,Beed,2283,3093,37688,17.85507880910683,40781
2025-07-01,Maharashtra,Buldhana,1462,941,28738,20.286397812713602,29679
2025-07-01,Maharashtra,Chandrapur,403,1628,22012,58.51485148514851,23640
2025-07-01,Maharashtra,Dhule,2644,3152,32606,13.519092627599244,35758
2025-07-01,Maharashtra,Jalgaon,1463,2272,62477,44.22745901639344,64749
2025-07-01,Maharashtra,Latur,819,5518,31419,45.045121951219514,36937
2025-07-01,Maharashtra,Mumbai Suburban,5571,26263,21208,8.519562096195262,47471
2025-07-01,Maharashtra,Nagpur,1166,4862,41560,39.77892030848329,46422
2025-07-01,Maharashtra,Nanded,1803,924,46666,26.380266075388025,47590
2025-07-01,Maharashtra,Nandurbar,3100,2101,36834,12.555627217026766,38935
2025-07-01,Maharashtra,Nashik,4615,7535,83938,19.81650779896014,91473
2025-07-01,Maharashtra,Palghar,1217,2886,20065,18.8431855500821,22951
2025-07-01,Maharashtra,Pune,5488,26991,83000,20.038440517398435,109991
2025-07-01,Maharashtra,Raigad,1166,2286,1768,3.473864610111397,4054
2025-07-01,Maharashtra,Solapur,561,2756,45141,85.22597864768683,47897
2025-07-01,Maharashtra,Thane,7343,27417,74661,13.89950980392157,102078
2025-07-01,Maharashtra,Yavatmal,1302,891,37277,29.292402148887184,38168
2025-07-01,Mizoram,Champhai,172,430,666,6.335260115606936,1096
2025-07-01,Punjab,Amritsar,1717,18570,23947,24.747962747380676,42517
2025-07-01,Punjab,Gurdaspur,658,15964,22564,58.46433990895296,38528
2025-07-01,Punjab,Hoshiarpur,365,6777,15197,60.03825136612022,21974
2025-07-01,Punjab,Ludhiana,3366,10304,30376,12.081972081972083,40680
2025-07-01,Punjab,Patiala,1021,16328,20946,36.471624266144815,37274
2025-07-01,Punjab,Tarn Taran,386,3737,11962,40.565891472868216,15699
2025-07-01,Rajasthan,Ajmer,932,6605,22352,31.036441586280816,28957
2025-07-01,Rajasthan,Alwar,2757,6194,37509,15.84590282813633,43703
2025-07-01,Rajasthan,Baran,437,4380,11414,36.05936073059361,15794
2025-07-01,Rajasthan,Bharatpur,1998,10945,28123,19.54377188594297,39068
2025-07-01,Rajasthan,Bikaner,1245,3995,20713,19.829855537720707,24708
2025-07-01,Rajasthan,Bundi,223,610,10920,51.473214285714285,11530
2025-07-01,Rajasthan,Chittorgarh,1576,1055,11681,8.076093849080532,12736
2025-07-01,Rajasthan,Churu,2150,4683,20064,11.504881450488146,24747
2025-07-01,Rajasthan,Dholpur,727,6082,13119,26.375,19201
2025-07-01,Rajasthan,Hanumangarh,751,8770,15480,32.24734042553192,24250
2025-07-01,Rajasthan,Jaipur,3438,22877,52457,21.90578656586217,75334
2025-07-01,Rajasthan,Jodhpur,2616,7903,36251,16.871990829193734,44154
2025-07-01,Rajasthan,Nagaur,1551,1118,32075,21.387242268041238,33193
2025-07-01,Rajasthan,Sawai Madhopur,910,2386,12717,16.57848518111965,15103
2025-07-01,Rajasthan,Sikar,650,2051,24403,40.63594470046083,26454
2025-07-01,Rajasthan,Sirohi,2717,4646,10645,5.625827814569536,15291
2025-07-01,Rajasthan,Tonk,986,5900,13071,19.220871327254304,18971
2025-07-01,Rajasthan,Udaipur,855,729,29806,35.671728971962615,30535
2025-07-01,Telangana,Hyderabad,7252,28400,31711,8.287743002895354,60111
2025-07-01,Uttar Pradesh,Agra,4569,3574,39762,9.482713347921225,43336
2025-07-01,Uttar Pradesh,Aligarh,6408,12209,29502,6.508191605554689,41711
2025-07-01,Uttar Pradesh,Bareilly,3072,17438,34107,16.77351122681419,51545
2025-07-01,Uttar Pradesh,Bulandshahr,1364,11502,25509,27.114285714285714,37011
2025-07-01,Uttar Pradesh,Firozabad,2990,29488,14236,14.618522233366766,43724
